step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.026385927572846413,0.004290815442800522,0.005289605353027582,0.8532655835151672,0.0,0.014006064273416996,0.060372588323352586,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
400,inverse_warmup,1.0,0.026249263435602188,0.003605267498642206,0.005185913760215044,0.8576358556747437,0.0,0.03385152295231819,0.2160062648988538,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
600,inverse_warmup,1.0,0.016393329948186874,0.0016594654880464077,0.005003420170396566,0.8666913509368896,0.0,0.019039740785956383,0.1050615812180035,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
800,inverse_warmup,1.0,0.024038657546043396,0.0033251603599637747,0.005302664823830128,0.8559913635253906,0.0,0.01360154990106821,0.15485427298152357,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1000,inverse_warmup,1.0,0.022425327450037003,0.00266172643750906,0.004975216928869486,0.8680445551872253,0.0,0.02422177419066429,0.16816926657183007,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1200,inverse_warmup,1.0,0.014452233910560608,0.001154241501353681,0.00518030347302556,0.8649572730064392,0.0,0.015910139307379723,0.08237890021768289,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1400,inverse_warmup,1.0,0.02099168673157692,0.0025306413881480694,0.005126053001731634,0.866885244846344,0.0,0.01535941381007433,0.0940287779503977,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1600,joint_soft,1.0,0.01960868015885353,0.0021518643479794264,0.004472313914448023,0.8725337386131287,1.31275201056269e-05,0.012254021130502224,0.05216926340544645,7.588087464682758e-05,0.9999673366546631,0.6509873867034912,0.4443245232105255,0.9257278442382812,2302.69103442038,1790.7947436543698
1800,joint_soft,1.0,0.013439876027405262,0.0008889789460226893,0.0045219911262393,0.8706470131874084,3.443115929258056e-06,0.014249864034354687,0.057567475876478605,2.3894734113127925e-05,0.9999912977218628,0.6408505439758301,0.46499645709991455,0.98809814453125,2542.099329294589,2030.2030385285786
2000,joint_soft,1.0,0.01871795952320099,0.0017097893869504333,0.004272986203432083,0.8730944991111755,4.7516391532553826e-06,0.021721575409173965,0.1159233905273773,6.661680345132481e-06,0.9999996423721313,0.6381982564926147,0.47046488523483276,0.9958381652832031,2714.3629086767305,2202.46661791072
2200,joint_soft,1.0,0.018028946593403816,0.00159768748562783,0.004172976128757,0.8748165369033813,3.4331740152993007e-06,0.023630646988749504,0.10437284676291388,3.828159549357224e-07,0.9999996423721313,0.6382811069488525,0.47298336029052734,0.9983062744140625,2854.6849213179376,2342.788630551927
2400,joint_soft,1.0,0.012482646852731705,0.0007366278441622853,0.00429932726547122,0.8722391724586487,1.8787657154462067e-06,0.013662760145962238,0.06351792720908628,3.8278460579022067e-07,1.0,0.6375305652618408,0.4738459587097168,0.9979324340820312,2948.1365300813327,2436.240239315322
2600,joint_soft,1.0,0.018613172695040703,0.0016825711354613304,0.004207752179354429,0.8719021081924438,2.974056769744493e-06,0.028358200564980507,0.14810345606336042,3.827513523901871e-07,1.0,0.6363143920898438,0.4745391607284546,0.9976806640625,3025.0147107080325,2513.118419942022
2800,joint_soft,1.0,0.017204534262418747,0.001355484826490283,0.004206487908959389,0.8720659613609314,2.1597518298221985e-06,0.022538989782333374,0.10725239536809794,3.8271886637630814e-07,1.0,0.6363352537155151,0.47547340393066406,0.9989509582519531,3101.4017798408513,2589.5054890748406
3000,joint_soft,1.0,0.013111613690853119,0.0008001630776561797,0.004122129175812006,0.8754251599311829,1.3724354630539892e-06,0.013516264036297798,0.11718424207717314,3.826842203125125e-07,1.0,0.6364896297454834,0.47614943981170654,0.9991378784179688,3177.648344294881,2665.7520535288704
3200,joint_soft,1.0,0.01667856052517891,0.0012917639687657356,0.0042259874753654,0.8732070922851562,1.3710352959606098e-06,0.013414474204182625,0.07730744154765984,3.434826467696439e-08,1.0,0.636344850063324,0.4765070676803589,0.9993362426757812,3234.4427649905942,2722.5464742245836
3400,joint_soft,1.0,0.017290130257606506,0.001399950124323368,0.004328964743763208,0.8705996870994568,1.4043051805856521e-06,0.01982228085398674,0.13164437899424575,3.434826467696439e-08,1.0,0.6362677216529846,0.47672027349472046,0.9991912841796875,3286.3070459103483,2774.4107551443376
3600,joint_soft,1.0,0.012181470170617104,0.0006541495677083731,0.004202724900096655,0.8735238313674927,1.048988110596838e-06,0.011845758184790611,0.06301197795402896,3.434826467696439e-08,1.0,0.6364238262176514,0.4772326946258545,0.9997215270996094,3341.745801224264,2829.8495104582535
