step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,inverse_warmup_m1,6,0.08747878670692444,0.04723835736513138,0.6249960660934448,0.04864680642882983,0.6211287627617518,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.441325178532077,-2.2349798679351807,37.535621643066406,5.158996105194092,1.0
1000,inverse_warmup_m1,11,0.07949579507112503,0.03750281780958176,0.6800024509429932,0.039435193253060184,0.6709875017404556,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.15222648329569943,-2.0389907360076904,38.74922180175781,5.1658616065979,1.0
1500,inverse_warmup_m1,16,0.07742232084274292,0.036228813230991364,0.6890697479248047,0.037331023874382176,0.6853936314582825,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.07474959822290986,-1.8700486421585083,36.694156646728516,5.21768856048584,1.0
2000,inverse_warmup_m1,22,0.07633213698863983,0.03568745777010918,0.6914857625961304,0.03678663416455189,0.6892174233992895,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.07240582398625381,-1.8546785116195679,35.633697509765625,5.203094959259033,1.0
2500,inverse_warmup_m1,27,0.07535004615783691,0.03510534018278122,0.6976682543754578,0.03594221516201893,0.6951951483885447,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.07890805913056602,-2.1693782806396484,37.047306060791016,5.20454740524292,1.0
3000,inverse_warmup_m1,32,0.07292622327804565,0.03444801643490791,0.7067097425460815,0.0365089721356829,0.6967911869287491,0.0055785286240279675,0.9893968105316162,0.499848335981369,0.028141021728515625,0.0,0.054140269514641376,-1.8632646799087524,35.236637115478516,5.143166542053223,1.0
3500,joint_soft_m1,6,0.03134338557720184,0.007986564189195633,0.9145188927650452,0.008149132831022143,0.9136172582705816,9.662188382719705e-09,1.0,0.4678935408592224,0.9972286224365234,2.5602494133636355e-06,0.06438985020898598,-2.351494312286377,40.9263801574707,4.904567718505859,1.0
4000,joint_soft_m1,11,0.029505599290132523,0.007253203075379133,0.9216287136077881,0.0074434733639160795,0.9209097772836685,6.061979390681316e-11,1.0,0.4599073529243469,0.9989681243896484,1.6574859955653665e-06,0.052203374155339405,-1.997431993484497,42.347164154052734,4.849373817443848,1.0
4500,joint_soft_m1,16,0.02980611100792885,0.007364332210272551,0.9203053712844849,0.007514774178465207,0.9198869317770004,3.195682854082414e-14,1.0,0.4554784297943115,0.9992637634277344,1.4073191323404899e-06,0.033035360982502066,-1.9242005348205566,38.29231643676758,4.776385307312012,1.0
5000,joint_soft_m1,22,0.028184762224555016,0.00655417051166296,0.9292969703674316,0.0067939149448648095,0.92740099132061,3.195567318788409e-14,1.0,0.45309847593307495,0.9995841979980469,1.1002797464243486e-06,0.038529694646237816,-2.2918944358825684,36.69675064086914,4.821095943450928,1.0
5500,joint_soft_m1,27,0.0277873482555151,0.006489323452115059,0.9292742609977722,0.0066173595453922944,0.928028424580892,3.195567318788409e-14,1.0,0.45164671540260315,0.9997119903564453,8.866729785950156e-07,0.04493773252376927,-2.157553195953369,42.142791748046875,4.777438640594482,1.0
6000,joint_soft_m1,32,0.027186961844563484,0.006058058701455593,0.9329439401626587,0.006488921198373039,0.9305995007356008,3.195567318788409e-14,1.0,0.4507789611816406,0.9997596740722656,7.708614475632203e-07,0.08346835120680292,-1.99485182762146,38.96003723144531,4.716468334197998,1.0
6500,joint_soft_m1,38,0.026970021426677704,0.006189506966620684,0.9317287802696228,0.006428343243896961,0.9305244237184525,3.195567318788409e-14,1.0,0.4501558542251587,0.9997596740722656,8.208603503589984e-07,0.03458018129872668,-1.8309645652770996,37.67835235595703,4.772075653076172,1.0
7000,joint_soft_m1,43,0.02683686837553978,0.0059934756718575954,0.9332906603813171,0.006222489522770047,0.9322464714447657,3.195567318788409e-14,1.0,0.4495812654495239,0.9998760223388672,6.480805154751579e-07,0.049149612902305205,-2.566575050354004,37.7209587097168,4.768281936645508,1.0
7500,joint_soft_m1,48,0.026235856115818024,0.00585732189938426,0.935020387172699,0.006141618398639063,0.9338802794615427,3.195567318788409e-14,1.0,0.44912612438201904,0.9998760223388672,6.476903422480973e-07,0.02904634124955261,-1.8847712278366089,37.32704544067383,4.741252899169922,1.0
8000,joint_soft_m1,54,0.026372762396931648,0.005850394256412983,0.9367451667785645,0.006133318063803017,0.9342937022447586,3.195567318788409e-14,1.0,0.44866371154785156,0.9998760223388672,6.384250355040422e-07,0.03797563517723342,-1.770490050315857,35.6338005065918,4.761486530303955,1.0
8500,joint_soft_m1,59,0.026967063546180725,0.005933175794780254,0.9357234239578247,0.006132462527602911,0.9340792894363403,3.195567318788409e-14,1.0,0.4483530819416046,0.9999122619628906,5.417890633907518e-07,0.05160379240579312,-1.8841933012008667,40.55126190185547,4.823113441467285,1.0
9000,joint_soft_m1,64,0.02619611658155918,0.005666214041411877,0.9377872347831726,0.005954064739247163,0.9357532660166422,3.195567318788409e-14,1.0,0.4480202794075012,0.9999046325683594,5.419653348326392e-07,0.028864384123712946,-1.80397629737854,42.8456916809082,4.794000148773193,1.0
9500,joint_soft_m1,70,0.026071712374687195,0.005712530110031366,0.9357539415359497,0.005913625432488819,0.9355296045541763,3.195567318788409e-14,1.0,0.44773706793785095,0.9999027252197266,4.628184910870914e-07,0.03466891850004379,-1.723958969116211,40.110389709472656,4.739713668823242,1.0
10000,joint_soft_m1,75,0.025938507169485092,0.005708297714591026,0.9357045888900757,0.0059990998124703765,0.9342020849386851,3.195567318788409e-14,1.0,0.4474521279335022,0.9999275207519531,4.808169364878268e-07,0.03680993842625623,-1.925780177116394,37.88997268676758,4.762151718139648,1.0
