step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,4,0.053759317845106125,0.017285749316215515,0.675979733467102,0.01750197261571884,0.7089743316173553,0.0,1.0,0.625,1.0,0.0,0.4974130581872748,0.5384199023246765,233.8528594970703,19.621334075927734,1.0
400,7,0.03637092188000679,0.005868046544492245,0.7805480360984802,0.006040610605850816,0.7933460772037506,0.0,1.0,0.625,1.0,0.0,0.10694917109472767,0.46796002984046936,222.6326141357422,18.291181564331055,1.0
600,10,0.03619931638240814,0.005408335477113724,0.7810481786727905,0.005304037593305111,0.8036925792694092,0.0,1.0,0.625,1.0,0.0,0.1376897538422405,0.8521726131439209,233.47093200683594,19.79593276977539,1.0
800,13,0.03386257216334343,0.00489196740090847,0.8060208559036255,0.0047787141520529985,0.8229404985904694,0.0,1.0,0.625,1.0,0.0,0.06046033203210991,0.732032060623169,225.53070068359375,19.443462371826172,1.0
1000,17,0.028586192056536674,0.003512817434966564,0.8323744535446167,0.0046497483272105455,0.8090792298316956,0.0,1.0,0.625,1.0,0.0,0.22706046796337723,0.29872146248817444,247.2224578857422,16.81290054321289,1.0
1200,20,0.030625497922301292,0.00487134326249361,0.8027303218841553,0.004479938885197043,0.8199102878570557,0.0,1.0,0.625,1.0,0.0,0.16552101360799987,0.7813732624053955,249.79840087890625,20.953365325927734,1.0
1400,23,0.030116509646177292,0.004062667489051819,0.8135822415351868,0.0041201397543773055,0.8253172338008881,0.0,1.0,0.625,1.0,0.0,0.14608449416104283,0.7022095918655396,220.89727783203125,18.16100311279297,1.0
1600,26,0.026746857911348343,0.0035239653661847115,0.8328584432601929,0.0038735534762963653,0.828524261713028,0.0,1.0,0.625,1.0,0.0,0.10571043668331911,0.4311022162437439,234.05242919921875,18.316505432128906,1.0
1800,30,0.03076576627790928,0.003845374332740903,0.8215464353561401,0.003672243794426322,0.836742639541626,0.0,1.0,0.625,1.0,0.0,0.3083353979090816,0.784820020198822,227.32601928710938,19.378482818603516,1.0
2000,33,0.030392300337553024,0.00424562580883503,0.8155157566070557,0.00374798895791173,0.8344895541667938,0.0,1.0,0.625,1.0,0.0,0.13322819965773677,0.7540374994277954,242.55520629882812,20.375713348388672,1.0
2200,36,0.027722150087356567,0.0036014546640217304,0.8470560908317566,0.0037915969733148813,0.8471125066280365,0.0,1.0,0.625,1.0,0.0,0.09919787390365396,0.6458616852760315,229.29376220703125,17.66846466064453,1.0
2400,39,0.028134675696492195,0.0037487964145839214,0.8381901979446411,0.0036353057948872447,0.8470855057239532,0.0,1.0,0.625,1.0,0.0,0.07394237972890322,0.7857614755630493,234.01870727539062,19.53302764892578,1.0
2600,42,0.02766999788582325,0.0036389194428920746,0.8150202035903931,0.003658200614154339,0.8282155692577362,0.0,1.0,0.625,1.0,0.0,0.08632710562233695,0.49342048168182373,233.6329345703125,18.408050537109375,1.0
2800,46,0.03138265013694763,0.0039004322607070208,0.8251059055328369,0.003631409606896341,0.8435938954353333,0.0,1.0,0.625,1.0,0.0,0.30798053306629475,0.5142124891281128,230.0126953125,19.98250389099121,1.0
3000,49,0.02868793159723282,0.0036834459751844406,0.8417178392410278,0.0035943917464464903,0.849643737077713,0.0,1.0,0.625,1.0,0.0,0.23192370185757646,0.6752656102180481,235.57034301757812,20.285991668701172,1.0
3200,52,0.031591612845659256,0.0043368227779865265,0.8113774061203003,0.0036239265464246273,0.8392346799373627,0.0,1.0,0.625,1.0,0.0,0.17382190023016938,0.26875460147857666,237.08737182617188,21.081008911132812,1.0
3400,55,0.025692928582429886,0.003069576807320118,0.8652344942092896,0.003605866921134293,0.8485108315944672,0.0,1.0,0.625,1.0,0.0,0.2898835488286848,0.9315628409385681,229.29747009277344,17.08953094482422,1.0
3600,59,0.026660267263650894,0.004002743400633335,0.8561859130859375,0.004037432256154716,0.8466061949729919,0.0,1.0,0.625,1.0,0.0,0.11872140796933786,0.6037874817848206,235.42144775390625,17.793716430664062,1.0
3800,62,0.028569743037223816,0.0036849044263362885,0.8390575647354126,0.0034963826183229685,0.8460834622383118,0.0,1.0,0.625,1.0,0.0,0.20371961706804279,0.6743000149726868,243.64105224609375,19.815998077392578,1.0
4000,65,0.0321059450507164,0.0040782056748867035,0.8151712417602539,0.003531632130034268,0.8527461886405945,0.0,1.0,0.625,1.0,0.0,0.09731634216130333,1.1514979600906372,233.8393096923828,22.55280113220215,1.0
