step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,6,0.07766418159008026,0.045378588140010834,0.48910635709762573,0.047184484193722405,0.48227146514256797,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.11639202918668108,-0.7101364135742188,41.15687561035156,5.154689788818359,1.0
1000,11,0.060581572353839874,0.024927161633968353,0.772300124168396,0.025568861176570257,0.7698986560503642,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.08002590859034737,-0.6502113938331604,42.88080596923828,5.166897296905518,1.0
1500,16,0.05765766650438309,0.023441210389137268,0.7852370142936707,0.02422802453239759,0.7803748644193014,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.10961544876362517,-0.640133261680603,39.90497589111328,5.181816101074219,1.0
2000,22,0.05570153146982193,0.023132696747779846,0.7924788594245911,0.024061193649967512,0.7875029603640239,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.08476273601451809,-0.727003812789917,40.522216796875,5.205575942993164,1.0
2500,27,0.054226670414209366,0.021612457931041718,0.8019900918006897,0.022752005939682324,0.7943080798784892,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.05183180465642466,-0.47988975048065186,40.483421325683594,5.190338611602783,1.0
3000,32,0.05406380444765091,0.021665822714567184,0.8018416166305542,0.022060624291499457,0.7992943326632181,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.07767190240783671,-0.5187793374061584,40.25916290283203,5.233501434326172,1.0
3500,38,0.05352663993835449,0.020888373255729675,0.8046569228172302,0.021475370153784753,0.8019955755869548,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.07805417532721662,-0.8134105801582336,40.52351760864258,5.16780424118042,1.0
4000,43,0.05320773646235466,0.02066090889275074,0.8106923699378967,0.02146282353500525,0.8058035399119059,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.10101281604613833,-0.6197634935379028,40.2957878112793,5.202095031738281,1.0
4500,48,0.05340339243412018,0.02083183452486992,0.8075466156005859,0.021229578812917073,0.806447900613149,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.08241919043599098,-0.7649168372154236,40.19736099243164,5.201717376708984,1.0
5000,54,0.05210646986961365,0.020071763545274734,0.811301052570343,0.0211609125683705,0.8059023391405742,2.3899818295786993e-20,1.0,0.5011695027351379,0.8263893127441406,0.0,0.09374271663939246,-0.7164432406425476,40.54396057128906,5.214076042175293,1.0
