step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,inverse_warmup_m1,4,0.053510624915361404,0.010039517655968666,0.7174972891807556,0.009380463883280754,0.7422465801239013,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.11432242338742674,0.6697662472724915,124.42657470703125,17.027244567871094,1.0
400,inverse_warmup_m1,7,0.03885985165834427,0.006250957492738962,0.7806229591369629,0.0068096907809376715,0.7839137077331543,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.08256769434801164,0.9617895483970642,118.39977264404297,15.251110076904297,1.0
600,inverse_warmup_m1,10,0.037768349051475525,0.006192506290972233,0.7882664799690247,0.006214846856892109,0.7967923164367676,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.09714994703261186,0.4681839346885681,117.15935516357422,16.285118103027344,1.0
800,inverse_warmup_m1,13,0.03310948237776756,0.005225536413490772,0.8131216764450073,0.005906125530600548,0.8029447078704834,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.16769616836678294,0.5988991856575012,125.75890350341797,14.251840591430664,1.0
1000,inverse_warmup_m1,17,0.03574556112289429,0.005518178455531597,0.8036657571792603,0.005874711461365223,0.8048585057258606,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.24326336275248084,0.6204463839530945,120.09843444824219,15.392047882080078,1.0
1200,inverse_warmup_m1,20,0.04155580699443817,0.00616195984184742,0.7791652679443359,0.005716903135180473,0.803224778175354,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.2461287404857282,0.6204380989074707,116.87560272216797,18.047239303588867,1.0
1400,inverse_warmup_m1,23,0.034534752368927,0.00507868779823184,0.8039509057998657,0.006025964207947254,0.7949341297149658,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.16861493237378436,0.5715062618255615,116.66312408447266,14.560409545898438,1.0
1500,inverse_warmup_m1,25,0.037831131368875504,0.009542450308799744,0.7782876491546631,0.009738420322537421,0.7878113031387329,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.027744293212890625,0.0,0.0992548649157971,0.6586943864822388,118.51809692382812,15.370299339294434,1.0
1700,joint_soft_m1,4,0.033254556357860565,0.0050145098939538,0.8174339532852173,0.006196294166147709,0.8026402950286865,0.011310937814414501,0.988470196723938,0.49987947940826416,0.027801513671875,1.6881870124052512e-07,0.17126104287895355,0.4758777916431427,126.3057632446289,14.146740913391113,1.0
1900,joint_soft_m1,7,0.032494448125362396,0.004961046390235424,0.8176898956298828,0.005576606374233961,0.8016132116317749,0.011313348077237606,0.9884747862815857,0.49984103441238403,0.027820587158203125,1.1024968671335955e-07,0.07373455848864319,0.5706649422645569,124.3496322631836,14.535478591918945,1.0
2100,joint_soft_m1,10,0.03510943427681923,0.0056179240345954895,0.8136532306671143,0.005933691188693047,0.8056224822998047,0.011315886862576008,0.9884795546531677,0.49980393052101135,0.027801513671875,1.0535998740124342e-07,0.2182049223513148,0.532512903213501,125.70500946044922,14.68426513671875,1.0
2300,joint_soft_m1,13,0.035746123641729355,0.005676212254911661,0.8026857972145081,0.005530846118927002,0.805918550491333,0.011318064294755459,0.9884844422340393,0.49976304173469543,0.027858734130859375,1.0447726594975393e-07,0.17409648612386827,0.9233108162879944,123.02660369873047,16.345951080322266,1.0
2500,joint_soft_m1,17,0.034864120185375214,0.00436158524826169,0.8112313151359558,0.005312768742442131,0.8125802040100097,0.011320572346448898,0.9884902238845825,0.4997139573097229,0.027862548828125,1.6570807304105983e-07,0.33022413392307265,0.9982494711875916,124.38186645507812,14.568839073181152,1.0
2700,joint_soft_m1,20,0.032192498445510864,0.004604958929121494,0.8159494996070862,0.0052111123688519,0.8136885762214661,0.011322194710373878,0.988497257232666,0.49964940547943115,0.027912139892578125,1.9335041656631802e-07,0.11594384093262125,0.8984435796737671,128.9149627685547,14.747369766235352,1.0
2900,joint_soft_m1,23,0.031021229922771454,0.004455991089344025,0.82716965675354,0.004891458619385958,0.8199923753738403,0.011322739534080029,0.9885066747665405,0.49956029653549194,0.02801513671875,2.1705913866298943e-07,0.06604616734089469,0.513778805732727,124.036376953125,14.61941146850586,1.0
