/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_with_li] step 7200/20000 g=1.4302 pix=0.0414 1.86 it/s
[swinir_with_li] step 7300/20000 g=1.5491 pix=0.0382 1.86 it/s
[swinir_with_li] step 7400/20000 g=1.3737 pix=0.0455 1.86 it/s
[swinir_with_li] step 7500/20000 g=1.3336 pix=0.0339 1.86 it/s
[swinir_with_li] step 7600/20000 g=1.2851 pix=0.0344 1.86 it/s
[swinir_with_li] step 7700/20000 g=1.4141 pix=0.0384 1.86 it/s
[swinir_with_li] step 7800/20000 g=1.2893 pix=0.0305 1.86 it/s
[swinir_with_li] step 7900/20000 g=1.5373 pix=0.0502 1.86 it/s
[swinir_with_li] step 8000/20000 g=1.6751 pix=0.0425 1.86 it/s
[swinir_with_li] step 8100/20000 g=1.6112 pix=0.0443 1.86 it/s
[swinir_with_li] step 8200/20000 g=1.4349 pix=0.0357 1.86 it/s
[swinir_with_li] step 8300/20000 g=1.7573 pix=0.0472 1.86 it/s
[swinir_with_li] step 8400/20000 g=1.7888 pix=0.0499 1.86 it/s
[swinir_with_li] step 8500/20000 g=1.4939 pix=0.0436 1.86 it/s
[swinir_with_li] step 8600/20000 g=1.5384 pix=0.0419 1.86 it/s
[swinir_with_li] step 8700/20000 g=1.6586 pix=0.0541 1.86 it/s
[swinir_with_li] step 8800/20000 g=1.6740 pix=0.0449 1.86 it/s
[swinir_with_li] step 8900/20000 g=1.4532 pix=0.0431 1.86 it/s
[swinir_with_li] step 9000/20000 g=1.7664 pix=0.0534 1.86 it/s
[swinir_with_li] step 9100/20000 g=1.6067 pix=0.0392 1.86 it/s
[swinir_with_li] step 9200/20000 g=1.7328 pix=0.0513 1.86 it/s
[swinir_with_li] step 9300/20000 g=1.5730 pix=0.0398 1.86 it/s
[swinir_with_li] step 9400/20000 g=1.6106 pix=0.0417 1.86 it/s
[swinir_with_li] step 9500/20000 g=1.4545 pix=0.0398 1.86 it/s
[swinir_with_li] step 9600/20000 g=1.4930 pix=0.0404 1.86 it/s
[swinir_with_li] step 9700/20000 g=1.6664 pix=0.0449 1.86 it/s
[swinir_with_li] step 9800/20000 g=1.6434 pix=0.0494 1.86 it/s
[swinir_with_li] step 9900/20000 g=1.5665 pix=0.0438 1.86 it/s
[swinir_with_li] step 10000/20000 g=1.7794 pix=0.0480 1.86 it/s
[swinir_with_li] step 10000 VAL_L1=0.05035 (best 0.06103@5000)
[swinir_with_li] step 10100/20000 g=1.6969 pix=0.0449 1.86 it/s
[swinir_with_li] step 10200/20000 g=1.3806 pix=0.0346 1.86 it/s
[swinir_with_li] step 10300/20000 g=1.5603 pix=0.0423 1.86 it/s
[swinir_with_li] step 10400/20000 g=1.6244 pix=0.0394 1.86 it/s
[swinir_with_li] step 10500/20000 g=1.3959 pix=0.0369 1.86 it/s
[swinir_with_li] step 10600/20000 g=1.5370 pix=0.0410 1.86 it/s
[swinir_with_li] step 10700/20000 g=1.6739 pix=0.0559 1.86 it/s
[swinir_with_li] step 10800/20000 g=1.3167 pix=0.0294 1.86 it/s
[swinir_with_li] step 10900/20000 g=1.6399 pix=0.0520 1.86 it/s
[swinir_with_li] step 11000/20000 g=1.3812 pix=0.0344 1.86 it/s
[swinir_with_li] step 11100/20000 g=1.5054 pix=0.0444 1.86 it/s
[swinir_with_li] step 11200/20000 g=1.7173 pix=0.0517 1.86 it/s
[swinir_with_li] step 11300/20000 g=1.5579 pix=0.0523 1.86 it/s
[swinir_with_li] step 11400/20000 g=1.4888 pix=0.0398 1.86 it/s
