step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,inverse_warmup_m1,6,0.07403384894132614,0.03335125371813774,0.7108895778656006,0.03513654756049315,0.7021908313035965,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.33695052804059983,-0.0007803625776432455,34.25966262817383,4.141634464263916,1.0
1000,inverse_warmup_m1,11,0.055500224232673645,0.021140053868293762,0.8043962717056274,0.02250814779351155,0.7963634381691614,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.12683618267846025,-0.0008216327987611294,32.78750228881836,4.172590255737305,1.0
1500,inverse_warmup_m1,16,0.050440412014722824,0.019164618104696274,0.8233566284179688,0.020393445001294214,0.8147568056980768,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.17699416688892816,-0.0008297985186800361,33.15193557739258,4.188087463378906,1.0
2000,inverse_warmup_m1,22,0.047243211418390274,0.01736752688884735,0.838326096534729,0.01885139538596074,0.8278976827859879,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.33189414377026455,-0.0008037754450924695,34.08006286621094,4.249932289123535,1.0
2500,inverse_warmup_m1,27,0.04539965093135834,0.01564660854637623,0.8539125919342041,0.0170640773139894,0.8445764382680258,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.1650556164921831,-0.0009256849880330265,34.51490020751953,4.236790657043457,1.0
3000,inverse_warmup_m1,32,0.042898230254650116,0.014367732219398022,0.8618316650390625,0.016318775713443756,0.8489898145198822,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.11067707549350878,-0.00077094353036955,32.8721923828125,4.147834777832031,1.0
3500,joint_soft_m1,6,0.035494349896907806,0.010413102805614471,0.8975322246551514,0.011275003276144465,0.891733984152476,0.00993247888982296,0.9902618527412415,0.4993705153465271,0.02823638916015625,1.2757006970787188e-06,0.08406762604111714,-0.0008826709818094969,36.72793197631836,4.196695804595947,1.0
4000,joint_soft_m1,11,0.03136569634079933,0.008055566810071468,0.9201638102531433,0.008932123969619473,0.91275421778361,0.009878330864012241,0.9904143810272217,0.49907422065734863,0.028284072875976562,1.1104649502158281e-06,0.09652671922871194,-0.0008945341105572879,34.38364028930664,4.226039886474609,1.0
4500,joint_soft_m1,16,0.029164135456085205,0.0069513581693172455,0.9302411079406738,0.007744420242185394,0.9232776562372843,0.009857723489403725,0.9905350804328918,0.49880701303482056,0.028295516967773438,1.0522154525460792e-06,0.10198969666412158,-0.0007424242794513702,33.02730178833008,4.203522682189941,1.0
5000,joint_soft_m1,22,0.027529675513505936,0.006417755037546158,0.9360902309417725,0.007076333509758115,0.9300477604071299,0.009845294989645481,0.9906153678894043,0.498544305562973,0.028314590454101562,1.024050675368926e-06,0.06419980759125728,-0.0009829768678173423,33.720218658447266,4.220884323120117,1.0
5500,joint_soft_m1,27,0.025963719934225082,0.00564583670347929,0.9418805837631226,0.006300392250219981,0.9363060345252355,0.009844081476330757,0.990672767162323,0.4983092248439789,0.02838134765625,9.288932574236242e-07,0.08341332833262316,-0.0007813948905095458,31.85767364501953,4.13031005859375,1.0
6000,joint_soft_m1,32,0.024814162403345108,0.005163700319826603,0.9464213848114014,0.005784582579508424,0.9413616607586542,0.009846034459769726,0.9907280206680298,0.49807024002075195,0.028413772583007812,9.282139217248186e-07,0.04847955650246477,-0.0007928110426291823,34.139137268066406,4.16703462600708,1.0
6500,joint_soft_m1,38,0.024319082498550415,0.0048004984855651855,0.952498197555542,0.005340442488280435,0.9472638517618179,0.009851164184510708,0.9907626509666443,0.49785280227661133,0.028516769409179688,8.860044431457936e-07,0.08522585616738464,-0.0008144849562086165,33.5349006652832,4.203124523162842,1.0
7000,joint_soft_m1,43,0.02365078777074814,0.0047598714008927345,0.953033447265625,0.005297590900833408,0.9481726636489233,0.00985620729625225,0.9907893538475037,0.4976233243942261,0.028636932373046875,8.478378958898247e-07,0.09479344244187222,-0.000794661755207926,34.73006820678711,4.1548848152160645,1.0
7500,joint_soft_m1,48,0.023132987320423126,0.004669162444770336,0.9529635906219482,0.00522683064142863,0.9478336970011393,0.009860865771770477,0.9908162355422974,0.4974214434623718,0.028646469116210938,8.201795935747214e-07,0.11474705681137479,-0.0006608439143747091,33.47610092163086,4.218625068664551,1.0
8000,joint_soft_m1,54,0.022442933171987534,0.004243721254169941,0.9576247930526733,0.004712903522886336,0.953574667374293,0.009865028783679008,0.9908363819122314,0.4972277879714966,0.028661727905273438,8.024820772334351e-07,0.07378545439171039,-0.0009202552028000355,33.8419303894043,4.2094621658325195,1.0
8500,joint_soft_m1,59,0.021846288815140724,0.004159155301749706,0.9569178819656372,0.004644827567972243,0.9528590142726898,0.009867582470178604,0.9908566474914551,0.49703216552734375,0.028772354125976562,8.083249554147187e-07,0.09393844557716516,-0.0008479768875986338,34.22706985473633,4.128479480743408,1.0
9000,joint_soft_m1,64,0.022007394582033157,0.003976494539529085,0.9601840376853943,0.004473010892979801,0.9559919337431589,0.009871901012957096,0.9908716082572937,0.4968322515487671,0.028850555419921875,8.07971161975729e-07,0.1076384912657095,-0.0010473006404936314,34.26313018798828,4.211531639099121,1.0
9500,joint_soft_m1,70,0.021153507754206657,0.0038707840722054243,0.9612221717834473,0.004413559140327076,0.9566173255443573,0.009878032840788364,0.990881085395813,0.49664559960365295,0.028980255126953125,7.661444669793127e-07,0.08610406855893443,-0.0008530663908459246,35.32558822631836,4.166324138641357,1.0
10000,joint_soft_m1,75,0.021306712180376053,0.00383515702560544,0.962769627571106,0.0042137223451087875,0.9592541952927908,0.009883961640298367,0.9908938407897949,0.4964696168899536,0.029066085815429688,7.600981462019263e-07,0.10546313671820641,-0.0008292709826491773,35.60021209716797,4.225625991821289,1.0
10350,joint_soft_m1,79,0.020566878840327263,0.003594654845073819,0.9642671346664429,0.004050563050744434,0.9604287644227346,0.009890495799481869,0.9908993244171143,0.4963533282279968,0.029125213623046875,7.363893246292719e-07,0.05252828378989076,-0.0008525828015990555,33.6230583190918,4.201910018920898,1.0
10850,harden_m2,6,0.019572364166378975,0.003273677546530962,0.9664991497993469,0.0036577865248546004,0.9634581406911215,9.954228153219447e-05,0.9999152421951294,0.4937245547771454,0.3038005828857422,7.031708264548797e-07,0.03814642548918448,-0.000728375103790313,34.99180221557617,4.127666473388672,2.0
11350,harden_m2,11,0.019329339265823364,0.003208786714822054,0.9680591225624084,0.0035585426376201212,0.964542398850123,9.944343037204817e-05,0.9999152421951294,0.49361610412597656,0.30350494384765625,7.060828011162812e-07,0.027530266104388853,-0.0008643700275570154,33.86509323120117,4.1423773765563965,2.0
11850,harden_m2,16,0.019303016364574432,0.003320600837469101,0.964798092842102,0.003676968083406488,0.9619419872760773,9.936191054293886e-05,0.9999152421951294,0.4934403896331787,0.3036670684814453,7.295043360500131e-07,0.051629730259162315,-0.0011584066087380052,34.55555725097656,4.166797637939453,2.0
12350,harden_m4,6,0.019352596253156662,0.003158973529934883,0.96791672706604,0.0035261525384460888,0.9643296400705973,9.829594915800044e-09,1.0,0.4911362826824188,0.6099319458007812,8.664375741318509e-07,0.04992716350381615,-0.0009253385942429304,35.64359664916992,4.092564105987549,4.0
12850,harden_m4,11,0.018593184649944305,0.0029934830963611603,0.9694951772689819,0.0034244256482149162,0.965631976723671,9.796279343277092e-09,1.0,0.49099475145339966,0.6080684661865234,8.458699767288635e-07,0.033655145079348164,-0.0009657280752435327,34.71724319458008,4.078946590423584,4.0
13350,harden_m4,16,0.01915842853486538,0.0030972789973020554,0.9683202505111694,0.003423913944667826,0.9653377085924149,9.787408217221127e-09,1.0,0.4907311797142029,0.6069507598876953,8.408665053138975e-07,0.09509581069311072,-0.0008965307497419417,37.811439514160156,4.161000728607178,4.0
13850,harden_m8,6,0.018449053168296814,0.0029156093951314688,0.9696853756904602,0.003268236895867934,0.9666612644990286,9.507580873459998e-17,1.0,0.48903656005859375,0.7814693450927734,1.160074361905572e-06,0.039573731099821756,-0.0009233610471710563,38.276023864746094,4.068266868591309,8.0
14350,harden_m8,11,0.018851056694984436,0.0030080750584602356,0.9692919254302979,0.0033738737693056464,0.9662215262651443,9.470659501382571e-17,1.0,0.4884895086288452,0.7793178558349609,1.1876904864038806e-06,0.07889543271648819,-0.0008246574434451759,37.90109634399414,4.07194185256958,8.0
14850,harden_m8,16,0.01777469925582409,0.0027792027685791254,0.9718044400215149,0.003140576125588268,0.9687113265196482,9.392620635416358e-17,1.0,0.4881061911582947,0.7783985137939453,1.1438115734563326e-06,0.02621659619511097,-0.0010582759277895093,39.7337646484375,4.096057891845703,8.0
