compression,downscale,num_patterns,illumination,base_ssim,swinir_ssim,delta_ssim,base_mse,swinir_mse,delta_mse,iterations_reached,best_step,checkpoint_path,config_path
x16,8,4,pseudo_random,0.8974,0.9107,0.0134,0.001141,0.000804,-0.000337,50000,34000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x16/random_fixed/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x16/random_fixed/config.yaml
x16,8,4,learnable,0.915,0.915,0.0,0.000937,0.000729,-0.000208,50000,14000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x16/learnable_frequency/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x16/learnable_frequency/config.yaml
x64,16,4,pseudo_random,0.8359,0.8623,0.0265,0.003616,0.002577,-0.00104,50000,28000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x64/random_fixed/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x64/random_fixed/config.yaml
x64,16,4,learnable,0.9034,0.9005,-0.0029,0.001232,0.001063,-0.000168,50000,17000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x64/learnable_frequency/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x64/learnable_frequency/config.yaml
x256,32,4,pseudo_random,0.6755,0.7339,0.0585,0.015195,0.013926,-0.001269,50000,26000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x256/random_fixed/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x256/random_fixed/config.yaml
x256,32,4,learnable,0.8135,0.8351,0.0216,0.004945,0.003888,-0.001057,50000,29000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x256/learnable_frequency/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x256/learnable_frequency/config.yaml
x1024,64,4,pseudo_random,0.5618,0.6345,0.0727,0.04017,0.04623,0.006061,50000,5000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x1024/random_fixed/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x1024/random_fixed/config.yaml
x1024,64,4,learnable,0.6481,0.6748,0.0267,0.023334,0.029205,0.005871,50000,23000,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x1024/learnable_frequency/checkpoints/best.pt,./experiments/figure3_bbbc022_swinir_fix_v1/paper_faithful_pixel_perceptual_gan/x1024/learnable_frequency/config.yaml
