step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.10127437114715576,0.055631645023822784,0.06313093225161234,0.5135217208862305,0.0,0.016187947243452072,0.14020706317904028,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
400,inverse_warmup,1.0,0.08556632697582245,0.04279579222202301,0.044600352923075355,0.6618553053538004,0.0,0.02119392715394497,0.11749786486836421,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
600,inverse_warmup,1.0,0.07671578228473663,0.03630122169852257,0.036870736221472425,0.6946819125811259,0.0,0.030162388458848,0.25556996098601725,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
800,inverse_warmup,1.0,0.07137198746204376,0.032294802367687225,0.03357093687852224,0.7203014974594116,0.0,0.03323088586330414,0.1151331869742965,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1000,inverse_warmup,1.0,0.06701689958572388,0.03010730817914009,0.030352572187781333,0.7367072505950928,0.0,0.03610990196466446,0.38498992728646353,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1200,inverse_warmup,1.0,0.06663985550403595,0.029729440808296204,0.028993525038162868,0.74838090244929,0.0,0.040213946253061295,0.18856667455056428,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1400,inverse_warmup,1.0,0.06319442391395569,0.026819977909326553,0.0281717372238636,0.7537774504025777,0.0,0.033409688621759415,0.16806305016926937,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1600,joint_soft,1.0,0.05830727890133858,0.024354781955480576,0.02494578253229459,0.7785391821861267,1.4375631280927337e-06,0.035112567245960236,0.267293555046814,0.005618080962449312,0.9863144159317017,0.49940958619117737,0.20827196538448334,0.027721405029296875,131012.15821441916,119.86734899041767
1800,joint_soft,1.0,0.05280345305800438,0.02101876400411129,0.02179779229561488,0.7958110214869182,1.2916497098558466e-06,0.032021090388298035,0.2990536513963313,0.005727017298340797,0.9862369298934937,0.4992031455039978,0.20873109996318817,0.0276947021484375,131270.0534927902,377.7626273614587
2000,joint_soft,1.0,0.04930318892002106,0.01879003643989563,0.01900031039118767,0.827465877532959,1.2961581887793727e-06,0.03292457386851311,0.21454091035742684,0.005819049198180437,0.9861694574356079,0.4990178644657135,0.20917940139770508,0.027584075927734375,131518.10022958816,625.8093641594169
2200,joint_soft,1.0,0.046258121728897095,0.01665339060127735,0.016890842005610467,0.8417921245892842,1.1712130572050228e-06,0.029831770807504654,0.13323452754351778,0.005886197555810213,0.9860659241676331,0.4988461136817932,0.20960266888141632,0.027469635009765625,131748.74511736346,856.454251934716
2400,joint_soft,1.0,0.044006746262311935,0.015373648144304752,0.01558991904060046,0.8523647985458374,1.2014497769996524e-06,0.03053506650030613,0.16966384129976328,0.005935247987508774,0.9859701991081238,0.4986870288848877,0.2100023478269577,0.027339935302734375,131965.57126766056,1073.280402231816
2600,joint_soft,1.0,0.04135238379240036,0.013749323785305023,0.014166418383518856,0.8663031409581502,1.1204892871319316e-06,0.02809964492917061,0.22786651332510002,0.005975436884909868,0.9859864711761475,0.4985349178314209,0.21038392186164856,0.027210235595703125,132172.29579605555,1280.0049306268047
2800,joint_soft,1.0,0.040529318153858185,0.01346382312476635,0.013354734028379122,0.8752736282348633,1.1072083907492924e-06,0.027257248759269714,0.11440338073692839,0.006006740964949131,0.9860055446624756,0.4983912706375122,0.21075396239757538,0.027095794677734375,132373.5224280143,1481.2315625855408
3000,joint_soft,1.0,0.03871329873800278,0.0122862309217453,0.012326662379006545,0.8829041911760966,1.0518117505853297e-06,0.025370793417096138,0.1308232693683521,0.006027603056281805,0.9860168099403381,0.49825775623321533,0.21109552681446075,0.02700042724609375,132558.0060200062,1665.715154577454
3200,joint_soft,1.0,0.037370022386312485,0.011433449573814869,0.01181692372262478,0.8881101304690043,9.892421530821593e-07,0.023985737934708595,0.11834535474685023,0.006044223438948393,0.9860197305679321,0.49812862277030945,0.21143914759159088,0.026927947998046875,132746.10569052488,1853.8148250961385
3400,joint_soft,1.0,0.036059506237506866,0.010885737836360931,0.011463779784739017,0.8931158100763956,9.816147894525784e-07,0.02347615361213684,0.13290396907347365,0.006059058476239443,0.9860326647758484,0.4980080723762512,0.21174979209899902,0.0268096923828125,132915.0422187045,2022.7513532757584
3600,joint_soft,1.0,0.035872682929039,0.010706484317779541,0.011277500726282596,0.8929950970013937,9.878025366560905e-07,0.023569593206048012,0.0794217559086831,0.006075649987906218,0.9860365986824036,0.4978939890861511,0.21205338835716248,0.0267333984375,133082.1022977921,2189.811432363349
3800,joint_soft,1.0,0.034550052136182785,0.010282706469297409,0.010601669977108638,0.8993523219426472,9.63506522566604e-07,0.022635160014033318,0.07311777266895286,0.006082613952457905,0.9860408902168274,0.49778300523757935,0.21234485507011414,0.026630401611328125,133242.9816538192,2350.690788390464
4000,joint_soft,1.0,0.034510932862758636,0.00996243767440319,0.010165768382449945,0.905537572701772,9.286335398428491e-07,0.02157783694565296,0.09883982405496582,0.006097756326198578,0.9860461354255676,0.49767833948135376,0.2126256823539734,0.026592254638671875,133398.95387895664,2506.6630135278974
