step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,3,0.0827985480427742,0.03947725147008896,0.6828551888465881,0.041522893269856774,0.6719879633585611,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.1759438788880594,0.0,36.48932647705078,4.166749954223633,10.0
400,5,0.06397845596075058,0.02896922640502453,0.7436699867248535,0.03022175805270672,0.7377773353258769,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.4866755520492661,0.0,35.94147872924805,4.128859519958496,10.0
600,7,0.05255163460969925,0.019409039989113808,0.8197346925735474,0.021092689509193102,0.8064076290130615,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.1521612203394946,0.0,35.663841247558594,4.189262866973877,10.0
800,9,0.048337846994400024,0.016453932970762253,0.8415814638137817,0.018051531116167703,0.831186962445577,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.10692125195293611,0.0,35.938289642333984,4.182590484619141,10.0
1000,11,0.046338535845279694,0.015139738097786903,0.8546116352081299,0.01650596298277378,0.8440467697779338,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.15480059720495917,0.0,36.023101806640625,4.224425315856934,10.0
1200,13,0.04395926371216774,0.015243261121213436,0.8552986979484558,0.016553088719646135,0.8461909193992615,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.12926576047860577,0.0,35.975982666015625,4.192960739135742,10.0
1400,15,0.04440154880285263,0.014096444472670555,0.8648443222045898,0.015016608079274496,0.8567155324618022,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.16773798719019511,0.0,35.94147872924805,4.2894182205200195,10.0
1600,18,0.04160952568054199,0.01303374208509922,0.8716036677360535,0.01444366504997015,0.8600587213834127,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.14347438581366795,0.0,38.106849670410156,4.144626617431641,10.0
1800,20,0.04103372246026993,0.01254374161362648,0.8769245147705078,0.013909094609320164,0.8669367750485738,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.12224016453384184,0.0,36.0130615234375,4.218710899353027,10.0
2000,22,0.0417141392827034,0.013854138553142548,0.8636873364448547,0.014830003177126249,0.856100972811381,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.14630709382553936,0.0,36.68295669555664,4.205192565917969,10.0
2200,24,0.040258169174194336,0.012532791122794151,0.8763493299484253,0.013699518005053202,0.8676138000488282,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.13604039581694866,0.0,35.47651290893555,4.186058044433594,10.0
2400,26,0.03919127956032753,0.011872649192810059,0.8816051483154297,0.013253853338460127,0.8718865068753561,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.11549644275832864,0.0,35.15289306640625,4.141013145446777,10.0
2600,28,0.0393771231174469,0.012142961844801903,0.8769057393074036,0.013127332396805287,0.8708894460995992,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.12603019426006085,0.0,37.32362365722656,4.187237739562988,10.0
2800,30,0.038837604224681854,0.01150783896446228,0.8856572508811951,0.012692014694213867,0.877052294254303,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.13662563169000777,0.0,34.972023010253906,4.12130069732666,10.0
3000,32,0.03716585040092468,0.011437120847404003,0.8829778432846069,0.013255472667515278,0.8705863289833069,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.13196495985456028,0.0,39.06056213378906,4.01016902923584,10.0
3200,35,0.03725289925932884,0.010850965976715088,0.8907743692398071,0.012563717514276505,0.8778478287061056,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.11544292598199794,0.0,37.00135040283203,4.136299133300781,10.0
3400,37,0.038120001554489136,0.011518964543938637,0.8894147872924805,0.012754480940600237,0.8781001232465109,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.14626514404008287,0.0,37.55851745605469,4.181682586669922,10.0
3600,39,0.03670872747898102,0.010682235471904278,0.8940397500991821,0.012200853978594144,0.8827885508537292,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.1183098311646921,0.0,33.896095275878906,4.167756080627441,10.0
3800,41,0.03722751513123512,0.010831179097294807,0.8938552141189575,0.012181194312870503,0.8840016120274862,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.13541454016689317,0.0,36.597084045410156,4.1278510093688965,10.0
4000,43,0.03771178051829338,0.011011486873030663,0.8935369253158569,0.01209472759316365,0.883024862130483,3.0866855577518976e-23,1.0,0.4999404847621918,0.8257827758789062,0.0,0.1556414187421588,0.0,39.192108154296875,4.318694591522217,10.0
