step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta,H_t_displacement,tau_displacement,illum_frozen
200,inverse_warmup_m1,1.0,0.10555136203765869,0.059468984603881836,0.05884913417200247,0.5182747145493826,0.0,0.023076210170984268,0.6074540763777037,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
400,inverse_warmup_m1,1.0,0.0880831852555275,0.043564215302467346,0.0442696555207173,0.6264008631308874,0.0,0.020346883684396744,0.1385848601979784,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
600,inverse_warmup_m1,1.0,0.08014063537120819,0.038366835564374924,0.0377436705554525,0.6768149038155874,0.0,0.029424196109175682,0.13330614672907912,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
800,inverse_warmup_m1,1.0,0.07517263293266296,0.034659311175346375,0.034355235286056995,0.704816127816836,0.0,0.03551168367266655,0.23005689250767009,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1000,inverse_warmup_m1,1.0,0.0715174525976181,0.03287285566329956,0.03288256966819366,0.7173212716976801,0.0,0.041604675352573395,0.16645848660716583,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1200,inverse_warmup_m1,1.0,0.0687568336725235,0.03102191351354122,0.030967565563817818,0.733531172076861,0.0,0.039648693054914474,0.11766182356345971,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1400,inverse_warmup_m1,1.0,0.06612284481525421,0.030255254358053207,0.03083294133345286,0.7392516434192657,0.0,0.04147656634449959,0.25446771551350733,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1600,inverse_warmup_m1,1.0,0.0653846338391304,0.02838989719748497,0.029596693348139524,0.7443903336922327,0.0,0.03743569180369377,0.16034657734852906,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1800,inverse_warmup_m1,1.0,0.06403796374797821,0.02839125134050846,0.02886382242043813,0.749467690785726,0.0,0.03832583129405975,0.2904554001396562,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2000,inverse_warmup_m1,1.0,0.06335815787315369,0.02717794105410576,0.028536018605033558,0.7562128404776255,0.0,0.03660734370350838,0.13882024104265026,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2200,inverse_warmup_m1,1.0,0.06263858079910278,0.027912845835089684,0.02865166775882244,0.7525313297907511,0.0,0.03732762113213539,0.16336066623464326,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2400,inverse_warmup_m1,1.0,0.062313418835401535,0.027271166443824768,0.027298201341181993,0.7611749817927679,0.0,0.03964518755674362,0.11725297788486938,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2600,inverse_warmup_m1,1.0,0.06159598380327225,0.02682334929704666,0.027791152087350685,0.7602819154659907,0.0,0.03683912754058838,0.16835891019144952,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2800,inverse_warmup_m1,1.0,0.06071962043642998,0.02576582506299019,0.02674710921322306,0.7639387349287668,0.0,0.03625684976577759,0.14878907484562476,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3000,inverse_warmup_m1,1.0,0.05998421460390091,0.025686930865049362,0.02659603130693237,0.7643982917070389,0.0,0.03453725203871727,0.15711945703093272,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3200,inverse_warmup_m1,1.0,0.05925625562667847,0.02504519373178482,0.026527039706707,0.7660958965619405,0.0,0.036074426025152206,0.15973616623017955,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3400,inverse_warmup_m1,1.0,0.061263661831617355,0.02675897814333439,0.02613112252826492,0.7673139621814092,0.0,0.03761950135231018,0.19060744521310655,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3600,inverse_warmup_m1,1.0,0.05833350121974945,0.024563170969486237,0.026059214801838,0.7731491178274155,0.0,0.035549189895391464,0.10967355426986652,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3800,inverse_warmup_m1,1.0,0.058714449405670166,0.024791153147816658,0.025976039469242096,0.7758943488200506,0.0,0.03526869788765907,0.21480712019976206,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4000,inverse_warmup_m1,1.0,0.05765920504927635,0.023916754871606827,0.0253212652169168,0.7763825903336207,0.0,0.03477839380502701,0.07490716771479292,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4200,inverse_warmup_m1,1.0,0.05765347555279732,0.024119585752487183,0.025386640646805365,0.777217964331309,0.0,0.03469015657901764,0.06998592679173218,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4400,inverse_warmup_m1,1.0,0.05740409344434738,0.024245603010058403,0.025318226621796686,0.7788077940543493,0.0,0.03475989028811455,0.1445505103298528,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4600,inverse_warmup_m1,1.0,0.05785183981060982,0.023986410349607468,0.02508142761265238,0.7810827642679214,0.0,0.03434491157531738,0.10576611170818287,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4800,inverse_warmup_m1,1.0,0.05703025311231613,0.023703768849372864,0.024907657876610756,0.7827042291561762,0.0,0.03357645124197006,0.09602168604283799,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5000,inverse_warmup_m1,1.0,0.056174784898757935,0.022949356585741043,0.025005894092222054,0.7790699303150177,0.0,0.031954407691955566,0.12015825250791737,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5200,inverse_warmup_m1,1.0,0.05570503696799278,0.0227441918104887,0.024767817463725805,0.7818944305181503,0.0,0.03249974548816681,0.08282192110553328,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5400,inverse_warmup_m1,1.0,0.056314822286367416,0.02319933846592903,0.024525913254668314,0.7849482794602712,0.0,0.03339216858148575,0.12665029070150638,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5600,inverse_warmup_m1,1.0,0.05544273555278778,0.022306308150291443,0.024291648995131254,0.7849542001883189,0.0,0.031011683866381645,0.20849252610913974,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5800,inverse_warmup_m1,1.0,0.054957032203674316,0.022486716508865356,0.024396791122853756,0.7834190875291824,0.0,0.031428564339876175,0.10214623160430927,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
6000,inverse_warmup_m1,1.0,0.05586908757686615,0.02283298596739769,0.02417690648386876,0.7858243485291799,0.0,0.030732516199350357,0.08064247764685994,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
6200,inverse_warmup_m1,1.0,0.05495420843362808,0.022416885942220688,0.024720606859773397,0.7845054616530737,0.0,0.03169324994087219,0.08422554407751733,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
6400,inverse_warmup_m1,1.0,0.05581877380609512,0.023338407278060913,0.024203751236200333,0.7853924781084061,0.0,0.03196021541953087,0.17692725352612093,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
6600,inverse_warmup_m1,1.0,0.0548504963517189,0.022289764136075974,0.02460544602945447,0.7828219930330912,0.0,0.03082898072898388,0.11108360057538486,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
6800,inverse_warmup_m1,1.0,0.055810194462537766,0.02270611748099327,0.02454220565656821,0.787501260638237,0.0,0.03099917247891426,0.14253045544252763,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
7000,inverse_warmup_m1,1.0,0.05501895770430565,0.022718671709299088,0.023710747404644888,0.7891168842713038,0.0,0.03037351928651333,0.1269882542214569,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
7200,inverse_warmup_m1,1.0,0.054652564227581024,0.021885143592953682,0.023766883338491123,0.7895752588907877,0.0,0.02923596277832985,0.12159728820465052,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
7400,inverse_warmup_m1,1.0,0.05473101884126663,0.022493839263916016,0.024118608019004267,0.7867594212293625,0.0,0.030493993312120438,0.0711265121310063,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
7600,inverse_warmup_m1,1.0,0.05432987958192825,0.02177152968943119,0.024088460486382246,0.7899118612209955,0.0,0.030147867277264595,0.07654702930581901,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
7800,inverse_warmup_m1,1.0,0.05371356010437012,0.02146218717098236,0.024020971575131018,0.7876642644405365,0.0,0.028540514409542084,0.07988199210662764,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
8000,inverse_warmup_m1,1.0,0.054433465003967285,0.02202887460589409,0.02356531610712409,0.7925880004962286,0.0,0.02880287542939186,0.07676382853184847,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
8200,inverse_warmup_m1,1.0,0.053735241293907166,0.021565381437540054,0.023193213623017073,0.7931109368801117,0.0,0.029219549149274826,0.10480550670632707,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
8400,inverse_warmup_m1,1.0,0.054663680493831635,0.022189507260918617,0.023772589086244505,0.7907351156075796,0.0,0.029806822538375854,0.10657759505271018,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
8600,inverse_warmup_m1,1.0,0.05355210602283478,0.021301500499248505,0.02350397454574704,0.7911461989084879,0.0,0.027638675644993782,0.08516661144893536,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
8800,inverse_warmup_m1,1.0,0.05504101887345314,0.022506579756736755,0.024057447755088408,0.78907344241937,0.0,0.02911345474421978,0.09802427473149238,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
9000,inverse_warmup_m1,1.0,0.05420815944671631,0.021997448056936264,0.023762355092912912,0.7906624327103297,0.0,0.02919607423245907,0.08361296505749187,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
9200,inverse_warmup_m1,1.0,0.05428772047162056,0.02182687819004059,0.023603809376557667,0.7922859092553457,0.0,0.02885010652244091,0.08599321735008245,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
9400,inverse_warmup_m1,1.0,0.05266376584768295,0.02085098996758461,0.023634483572095633,0.7942244758208593,0.0,0.03068990260362625,0.08754281054359234,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
9600,inverse_warmup_m1,1.0,0.053474873304367065,0.021382667124271393,0.022920712052534025,0.7954084624846777,0.0,0.026907047256827354,0.08530615757504267,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
9800,inverse_warmup_m1,1.0,0.05251959711313248,0.020961318165063858,0.023134973365813494,0.7937048623959223,0.0,0.026653867214918137,0.07252649477372483,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
10000,inverse_warmup_m1,1.0,0.05358118563890457,0.0212959386408329,0.023111736091474693,0.7941911468903223,0.0,0.027543848380446434,0.12839306769801534,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
10200,inverse_warmup_m1,1.0,0.05449995398521423,0.022125018760561943,0.023377970171471436,0.7950610965490341,0.0,0.028303366154432297,0.15957698092605638,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
10400,inverse_warmup_m1,1.0,0.05330047756433487,0.021367795765399933,0.023409024346619844,0.794405867656072,0.0,0.02725600078701973,0.12259801659571805,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
10600,inverse_warmup_m1,1.0,0.05392712354660034,0.02187534235417843,0.02315004573514064,0.795736645658811,0.0,0.027879992499947548,0.10112059179884608,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
10800,inverse_warmup_m1,1.0,0.05283762514591217,0.021268878132104874,0.02296741136039297,0.7961176832516988,0.0,0.02741660177707672,0.09653199146700958,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
